!------------------------------------------------------------!
  Date: 20191120
  Simulation name: ANY4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6  0.000000000000000E+000
           2           7  0.000000000000000E+000
           2           8  0.000000000000000E+000
           2           9  0.000000000000000E+000
           2          10  0.000000000000000E+000
           2          11  0.000000000000000E+000
           2          12  0.000000000000000E+000
           2          13  0.000000000000000E+000
           2          14  0.000000000000000E+000
           2          15  0.000000000000000E+000
           2          16  0.000000000000000E+000
           2          17  0.000000000000000E+000
           2          18  0.000000000000000E+000
           2          19  0.000000000000000E+000
           2          20  0.000000000000000E+000
           2          21   9.00000000000000     
           2          22  0.000000000000000E+000
           2          23   15.0000000000000     
           2          24   18.0000000000000     
           2          25   15.0000000000000     
           2          26   18.0000000000000     
           2          27   27.0000000000000     
           2          28   27.0000000000000     
           2          29   27.0000000000000     
           2          30   27.0000000000000     
           2          31   24.0000000000000     
           2          32   30.0000000000000     
           2          33   42.0000000000000     
           2          34   87.0000000000000     
           2          35   108.000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5  0.000000000000000E+000
           3           6  0.000000000000000E+000
           3           7  0.000000000000000E+000
           3           8  0.000000000000000E+000
           3           9  0.000000000000000E+000
           3          10  0.000000000000000E+000
           3          11  0.000000000000000E+000
           3          12  0.000000000000000E+000
           3          13  0.000000000000000E+000
           3          14  0.000000000000000E+000
           3          15  0.000000000000000E+000
           3          16  0.000000000000000E+000
           3          17   186.000000000000     
           3          18   198.000000000000     
           3          19   207.000000000000     
           3          20   195.000000000000     
           3          21   186.000000000000     
           3          22   219.000000000000     
           3          23   222.000000000000     
           3          24   225.000000000000     
           3          25   234.000000000000     
           3          26   240.000000000000     
           3          27   201.000000000000     
           3          28   228.000000000000     
           3          29   249.000000000000     
           3          30   249.000000000000     
           3          31   249.000000000000     
           3          32   249.000000000000     
           3          33   249.000000000000     
           3          34   243.000000000000     
           3          35   246.000000000000     
           4           1  0.000000000000000E+000
           4           2  0.000000000000000E+000
           4           3  0.000000000000000E+000
           4           4   210.000000000000     
           4           5   228.000000000000     
           4           6   252.000000000000     
           4           7   255.000000000000     
           4           8   261.000000000000     
           4           9   249.000000000000     
           4          10   249.000000000000     
           4          11   249.000000000000     
           4          12   270.000000000000     
           4          13   276.000000000000     
           4          14   282.000000000000     
           4          15   207.000000000000     
           4          16   243.000000000000     
           4          17   279.000000000000     
           4          18   234.000000000000     
           4          19   300.000000000000     
           4          20   300.000000000000     
           4          21   300.000000000000     
           4          22   294.000000000000     
           4          23   309.000000000000     
           4          24   297.000000000000     
