!------------------------------------------------------------!
  Date: 20190924
  Simulation name: AV7 
  Filename:nose.txt                                                                                                                
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                       
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                
  Data format: t  Q  Nose of Current X Loc                                                                                            
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6   12.0000000000000     
           2           7   15.0000000000000     
           2           8   21.0000000000000     
           2           9   21.0000000000000     
           2          10   27.0000000000000     
           2          11   18.0000000000000     
           2          12   27.0000000000000     
           2          13   36.0000000000000     
           2          14   33.0000000000000     
           2          15   33.0000000000000     
           2          16   36.0000000000000     
           2          17   129.000000000000     
           2          18   129.000000000000     
           2          19   138.000000000000     
           2          20   132.000000000000     
           2          21   153.000000000000     
           2          22   120.000000000000     
           2          23   150.000000000000     
           2          24   141.000000000000     
           2          25   138.000000000000     
           2          26   153.000000000000     
           2          27   144.000000000000     
           2          28   108.000000000000     
           2          29   111.000000000000     
           2          30   144.000000000000     
           2          31   123.000000000000     
           2          32   114.000000000000     
           2          33   90.0000000000000     
           2          34   114.000000000000     
           2          35   90.0000000000000     
           2          36   90.0000000000000     
           2          37   90.0000000000000     
           2          38   135.000000000000     
           2          39   90.0000000000000     
           2          40   90.0000000000000     
           2          41   141.000000000000     
           2          42   141.000000000000     
           2          43   141.000000000000     
           2          44   90.0000000000000     
           2          45  0.000000000000000E+000
           2          46   90.0000000000000     
           2          47   90.0000000000000     
           2          48   90.0000000000000     
           2          49   87.0000000000000     
           2          50   135.000000000000     
           2          51   135.000000000000     
           2          52   138.000000000000     
           2          53   138.000000000000     
           2          54   138.000000000000     
           2          55   138.000000000000     
           2          56   138.000000000000     
           2          57   138.000000000000     
           2          58   138.000000000000     
           2          59   138.000000000000     
           2          60   138.000000000000     
           2          61   141.000000000000     
           2          62   90.0000000000000     
           2          63   135.000000000000     
           2          64   138.000000000000     
           2          65   114.000000000000     
           2          66   138.000000000000     
           2          67   138.000000000000     
           2          68   78.0000000000000     
           3           1   216.000000000000     
           3           2   222.000000000000     
           3           3   225.000000000000     
           3           4   255.000000000000     
           3           5   261.000000000000     
           3           6   270.000000000000     
           3           7   285.000000000000     
           3           8   294.000000000000     
           3           9   297.000000000000     
           3          10   303.000000000000     
           3          11   219.000000000000     
           3          12   306.000000000000     
           3          13   285.000000000000     
           3          14   300.000000000000     
           3          15   249.000000000000     
           3          16   306.000000000000     
           3          17   288.000000000000     
           3          18   300.000000000000     
           3          19   303.000000000000     
           3          20   297.000000000000     
           3          21   294.000000000000     
           3          22   300.000000000000     
           3          23   303.000000000000     
           3          24   300.000000000000     
           3          25   306.000000000000     
           3          26   267.000000000000     
           3          27   231.000000000000     
           3          28   249.000000000000     
           3          29   312.000000000000     
           3          30   309.000000000000     
           3          31   249.000000000000     
           3          32   312.000000000000     
           3          33   294.000000000000     
