!------------------------------------------------------------!
  Date: 20191117
  Simulation name: AVX4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6  0.000000000000000E+000
           2           7  0.000000000000000E+000
           2           8   12.0000000000000     
           2           9   12.0000000000000     
           2          10   18.0000000000000     
           2          11   27.0000000000000     
           2          12   33.0000000000000     
           2          13   129.000000000000     
           2          14   141.000000000000     
           2          15   51.0000000000000     
           2          16   102.000000000000     
           2          17   99.0000000000000     
           2          18   138.000000000000     
           2          19   135.000000000000     
           2          20   129.000000000000     
           2          21   90.0000000000000     
           2          22   129.000000000000     
           2          23   108.000000000000     
           2          24   105.000000000000     
           2          25   132.000000000000     
           2          26   105.000000000000     
           2          27   108.000000000000     
           2          28   123.000000000000     
           2          29   123.000000000000     
           2          30   123.000000000000     
           2          31   117.000000000000     
           2          32   90.0000000000000     
           2          33   90.0000000000000     
           2          34   90.0000000000000     
           2          35   96.0000000000000     
           2          36   90.0000000000000     
           2          37   90.0000000000000     
           2          38   96.0000000000000     
           2          39   96.0000000000000     
           2          40   123.000000000000     
           2          41   123.000000000000     
           2          42   90.0000000000000     
           2          43   90.0000000000000     
           2          44   96.0000000000000     
           2          45  0.000000000000000E+000
           2          46   90.0000000000000     
           2          47   96.0000000000000     
           2          48   96.0000000000000     
           2          49   96.0000000000000     
           2          50   96.0000000000000     
           2          51   96.0000000000000     
           2          52   123.000000000000     
           2          53   96.0000000000000     
           2          54   90.0000000000000     
           2          55   90.0000000000000     
           2          56   90.0000000000000     
           2          57   90.0000000000000     
           2          58   99.0000000000000     
           2          59   93.0000000000000     
           2          60   126.000000000000     
           2          61   129.000000000000     
           2          62   132.000000000000     
           2          63   123.000000000000     
           2          64   123.000000000000     
           2          65   96.0000000000000     
           2          66   126.000000000000     
           2          67   90.0000000000000     
           2          68   111.000000000000     
           3           1   213.000000000000     
           3           2   234.000000000000     
           3           3   237.000000000000     
           3           4   240.000000000000     
           3           5   258.000000000000     
           3           6   249.000000000000     
           3           7   234.000000000000     
           3           8   270.000000000000     
           3           9   273.000000000000     
           3          10   261.000000000000     
           3          11   273.000000000000     
           3          12   282.000000000000     
           3          13   270.000000000000     
           3          14   285.000000000000     
           3          15   267.000000000000     
           3          16   228.000000000000     
           3          17   234.000000000000     
           3          18   264.000000000000     
           3          19   285.000000000000     
           3          20   279.000000000000     
           3          21   291.000000000000     
           3          22   294.000000000000     
           3          23   294.000000000000     
           3          24   294.000000000000     
           3          25   291.000000000000     
           3          26   192.000000000000     
           3          27   273.000000000000     
           3          28   276.000000000000     
           3          29   276.000000000000     
           3          30   288.000000000000     
           3          31   231.000000000000     
