!------------------------------------------------------------!
  Date: 20191122
  Simulation name: AVZ4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6   12.0000000000000     
           2           7   15.0000000000000     
           2           8   18.0000000000000     
           2           9   21.0000000000000     
           2          10   21.0000000000000     
           2          11   21.0000000000000     
           2          12   33.0000000000000     
           2          13   30.0000000000000     
           2          14   33.0000000000000     
           2          15   30.0000000000000     
           2          16   33.0000000000000     
           2          17   39.0000000000000     
           2          18   27.0000000000000     
           2          19   36.0000000000000     
           2          20   24.0000000000000     
           2          21   39.0000000000000     
           2          22   21.0000000000000     
           2          23   120.000000000000     
           2          24   129.000000000000     
           2          25   138.000000000000     
           2          26   132.000000000000     
           2          27   96.0000000000000     
           2          28   96.0000000000000     
           2          29   132.000000000000     
           2          30   123.000000000000     
           2          31   90.0000000000000     
           2          32   90.0000000000000     
           2          33   126.000000000000     
           2          34   96.0000000000000     
           2          35   120.000000000000     
           2          36   90.0000000000000     
           2          37   132.000000000000     
           2          38   132.000000000000     
           2          39   132.000000000000     
           2          40   96.0000000000000     
           2          41   96.0000000000000     
           2          42   96.0000000000000     
           2          43   123.000000000000     
           2          44   96.0000000000000     
           2          45  0.000000000000000E+000
           2          46   117.000000000000     
           2          47   117.000000000000     
           2          48   90.0000000000000     
           2          49   123.000000000000     
           2          50   117.000000000000     
           2          51   90.0000000000000     
           2          52   90.0000000000000     
           2          53   96.0000000000000     
           2          54   117.000000000000     
           2          55   96.0000000000000     
           2          56   90.0000000000000     
           2          57   90.0000000000000     
           2          58   99.0000000000000     
           2          59   93.0000000000000     
           2          60   102.000000000000     
           2          61   108.000000000000     
           2          62   132.000000000000     
           2          63   129.000000000000     
           2          64   123.000000000000     
           2          65   90.0000000000000     
           2          66   99.0000000000000     
           2          67   129.000000000000     
           2          68   105.000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5   219.000000000000     
           3           6   225.000000000000     
           3           7   207.000000000000     
           3           8   168.000000000000     
           3           9   219.000000000000     
           3          10   234.000000000000     
           3          11   234.000000000000     
           3          12   219.000000000000     
           3          13   243.000000000000     
           3          14   249.000000000000     
           3          15   249.000000000000     
           3          16   255.000000000000     
           3          17   261.000000000000     
           3          18   249.000000000000     
           3          19   267.000000000000     
           3          20   249.000000000000     
           3          21   270.000000000000     
           3          22   282.000000000000     
           3          23   234.000000000000     
           3          24   285.000000000000     
           3          25   234.000000000000     
           3          26   273.000000000000     
           3          27   285.000000000000     
           3          28   234.000000000000     
           3          29   285.000000000000     
           3          30   240.000000000000     
           3          31   297.000000000000     
