!------------------------------------------------------------!
  Date: 20191113
  Simulation name: AWY4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1   129.000000000000     
           2           2   141.000000000000     
           2           3   144.000000000000     
           2           4   126.000000000000     
           2           5   144.000000000000     
           2           6   144.000000000000     
           2           7   132.000000000000     
           2           8   132.000000000000     
           2           9   135.000000000000     
           2          10   132.000000000000     
           2          11   132.000000000000     
           2          12   132.000000000000     
           2          13   132.000000000000     
           2          14   132.000000000000     
           2          15   132.000000000000     
           2          16   132.000000000000     
           2          17   132.000000000000     
           2          18   132.000000000000     
           2          19   132.000000000000     
           2          20   132.000000000000     
           2          21   132.000000000000     
           2          22   132.000000000000     
           2          23   132.000000000000     
           2          24   132.000000000000     
           2          25   108.000000000000     
           2          26   132.000000000000     
           2          27   132.000000000000     
           2          28   132.000000000000     
           2          29   135.000000000000     
           2          30   96.0000000000000     
           2          31   96.0000000000000     
           2          32   132.000000000000     
           2          33   78.0000000000000     
           2          34   132.000000000000     
           2          35   132.000000000000     
           2          36   132.000000000000     
           2          37   132.000000000000     
           2          38   132.000000000000     
           2          39   135.000000000000     
           2          40   135.000000000000     
           2          41   135.000000000000     
           2          42   132.000000000000     
           2          43   132.000000000000     
           2          44   132.000000000000     
           2          45  0.000000000000000E+000
           2          46   132.000000000000     
           2          47   96.0000000000000     
           2          48   96.0000000000000     
           2          49   96.0000000000000     
           2          50   132.000000000000     
           2          51   78.0000000000000     
           2          52   132.000000000000     
           2          53   78.0000000000000     
           2          54   78.0000000000000     
           2          55   78.0000000000000     
           2          56   75.0000000000000     
           2          57   75.0000000000000     
           2          58   75.0000000000000     
           2          59   75.0000000000000     
           2          60   129.000000000000     
           2          61   75.0000000000000     
           2          62   75.0000000000000     
           2          63   75.0000000000000     
           2          64   75.0000000000000     
           2          65   96.0000000000000     
           2          66   96.0000000000000     
           2          67   96.0000000000000     
           2          68   96.0000000000000     
           2          69   75.0000000000000     
           2          70   96.0000000000000     
           2          71   96.0000000000000     
           2          72   111.000000000000     
           2          73   96.0000000000000     
           2          74   78.0000000000000     
           2          75   96.0000000000000     
           2          76   114.000000000000     
           2          77   99.0000000000000     
           2          78   99.0000000000000     
           2          79   117.000000000000     
           2          80   132.000000000000     
           2          81   102.000000000000     
           2          82   135.000000000000     
           2          83   96.0000000000000     
           2          84   129.000000000000     
           2          85   132.000000000000     
           2          86   105.000000000000     
           2          87   120.000000000000     
           2          88   117.000000000000     
           2          89   114.000000000000     
           2          90   126.000000000000     
           2          91   111.000000000000     
           2          92   108.000000000000     
           2          93   123.000000000000     
           2          94   96.0000000000000     
           2          95   111.000000000000     
           2          96   102.000000000000     
           2          97  0.000000000000000E+000
           2          98  0.000000000000000E+000
           2          99  0.000000000000000E+000
           2         100  0.000000000000000E+000
           2         101  0.000000000000000E+000
           3           1   240.000000000000     
           3           2   291.000000000000     
           3           3   303.000000000000     
           3           4   234.000000000000     
           3           5   294.000000000000     
           3           6   306.000000000000     
           3           7   270.000000000000     
           3           8   297.000000000000     
           3           9   297.000000000000     
           3          10   306.000000000000     
           3          11   207.000000000000     
           3          12   300.000000000000     
           3          13   300.000000000000     
           3          14   297.000000000000     
           3          15   297.000000000000     
           3          16   240.000000000000     
           3          17   303.000000000000     
           3          18   300.000000000000     
           3          19   261.000000000000     
           3          20   213.000000000000     
           3          21   297.000000000000     
           3          22   294.000000000000     
           3          23   261.000000000000     
           3          24   297.000000000000     
           3          25   297.000000000000     
           3          26   297.000000000000     
           3          27   297.000000000000     
           3          28   273.000000000000     
           3          29   297.000000000000     
           3          30   297.000000000000     
           3          31   285.000000000000     
           3          32   264.000000000000     
           3          33   294.000000000000     
           3          34   207.000000000000     
           3          35   252.000000000000     
           3          36   297.000000000000     
           3          37   297.000000000000     
           3          38   216.000000000000     
           3          39   258.000000000000     
           3          40   261.000000000000     
           3          41   285.000000000000     
           3          42   294.000000000000     
           3          43   255.000000000000     
           3          44   294.000000000000     
           3          45  0.000000000000000E+000
           3          46   252.000000000000     
           3          47   294.000000000000     
           3          48   288.000000000000     
           3          49   294.000000000000     
           3          50   297.000000000000     
           3          51   252.000000000000     
           3          52   297.000000000000     
           3          53   300.000000000000     
           3          54   297.000000000000     
           3          55   279.000000000000     
           3          56   222.000000000000     
           3          57   258.000000000000     
           3          58   300.000000000000     
           3          59   279.000000000000     
           3          60   285.000000000000     
           3          61   210.000000000000     
           3          62   294.000000000000     
           3          63   294.000000000000     
           3          64   294.000000000000     
           3          65   294.000000000000     
           3          66   294.000000000000     
           3          67   291.000000000000     
           3          68   258.000000000000     
           3          69   219.000000000000     
           3          70   294.000000000000     
           3          71   207.000000000000     
           3          72   294.000000000000     
           3          73   294.000000000000     
           3          74   297.000000000000     
           3          75   273.000000000000     
           3          76   288.000000000000     
           3          77   288.000000000000     
           3          78   288.000000000000     
           3          79   165.000000000000     
           3          80   165.000000000000     
           3          81   162.000000000000     
           3          82   159.000000000000     
           3          83   156.000000000000     
           3          84   153.000000000000     
           3          85   147.000000000000     
           3          86   144.000000000000     
           3          87   141.000000000000     
           3          88   117.000000000000     
           3          89   114.000000000000     
           3          90   126.000000000000     
           3          91   117.000000000000     
           3          92   111.000000000000     
           3          93   123.000000000000     
           3          94   102.000000000000     
           3          95   111.000000000000     
           3          96   108.000000000000     
           3          97   105.000000000000     
           3          98  0.000000000000000E+000
           3          99  0.000000000000000E+000
           3         100  0.000000000000000E+000
           3         101  0.000000000000000E+000
           4           1   447.000000000000     
           4           2   483.000000000000     
           4           3   486.000000000000     
           4           4   495.000000000000     
           4           5   492.000000000000     
           4           6   492.000000000000     
           4           7   492.000000000000     
           4           8   495.000000000000     
           4           9   465.000000000000     
           4          10   480.000000000000     
           4          11   492.000000000000     
           4          12   480.000000000000     
           4          13   492.000000000000     
           4          14   489.000000000000     
           4          15   489.000000000000     
           4          16   492.000000000000     
           4          17   492.000000000000     
           4          18   492.000000000000     
           4          19   492.000000000000     
           4          20   378.000000000000     
           4          21   462.000000000000     
           4          22   492.000000000000     
           4          23   492.000000000000     
           4          24   489.000000000000     
           4          25   492.000000000000     
           4          26   492.000000000000     
           4          27   444.000000000000     
           4          28   471.000000000000     
           4          29   444.000000000000     
           4          30   495.000000000000     
           4          31   495.000000000000     
           4          32   492.000000000000     
           4          33   492.000000000000     
           4          34   483.000000000000     
           4          35   492.000000000000     
           4          36   363.000000000000     
           4          37   495.000000000000     
           4          38   495.000000000000     
           4          39   495.000000000000     
           4          40   495.000000000000     
           4          41   486.000000000000     
           4          42   450.000000000000     
           4          43   429.000000000000     
           4          44   462.000000000000     
           4          45  0.000000000000000E+000
           4          46   471.000000000000     
           4          47   486.000000000000     
           4          48   477.000000000000     
           4          49   441.000000000000     
           4          50   483.000000000000     
           4          51   471.000000000000     
           4          52   492.000000000000     
           4          53   489.000000000000     
           4          54   495.000000000000     
           4          55   486.000000000000     
           4          56   429.000000000000     
           4          57   477.000000000000     
           4          58   483.000000000000     
           4          59   417.000000000000     
           4          60   456.000000000000     
           4          61   492.000000000000     
           4          62   444.000000000000     
           4          63   492.000000000000     
           4          64   495.000000000000     
           4          65   468.000000000000     
           4          66   483.000000000000     
           4          67   492.000000000000     
           4          68   492.000000000000     
           4          69   480.000000000000     
           4          70   486.000000000000     
           4          71   480.000000000000     
           4          72   480.000000000000     
           4          73   465.000000000000     
           4          74   471.000000000000     
           4          75   453.000000000000     
           4          76   459.000000000000     
           4          77   471.000000000000     
           4          78   438.000000000000     
           4          79   441.000000000000     
           4          80   465.000000000000     
           4          81   453.000000000000     
           4          82   459.000000000000     
           4          83   423.000000000000     
           4          84   444.000000000000     
           4          85   447.000000000000     
           4          86   393.000000000000     
           4          87   429.000000000000     
           4          88   390.000000000000     
           4          89   408.000000000000     
           4          90   426.000000000000     
           4          91   405.000000000000     
           4          92   426.000000000000     
           4          93   423.000000000000     
           4          94   417.000000000000     
           4          95   414.000000000000     
           4          96   399.000000000000     
           4          97   396.000000000000     
           4          98   387.000000000000     
           4          99   384.000000000000     
           4         100   375.000000000000     
           4         101  0.000000000000000E+000
           5           1   678.000000000000     
           5           2   675.000000000000     
           5           3   669.000000000000     
           5           4   663.000000000000     
           5           5   630.000000000000     
           5           6   672.000000000000     
           5           7   675.000000000000     
           5           8   669.000000000000     
           5           9   675.000000000000     
           5          10   678.000000000000     
           5          11   681.000000000000     
           5          12   687.000000000000     
           5          13   696.000000000000     
           5          14   672.000000000000     
           5          15   702.000000000000     
           5          16   708.000000000000     
           5          17   711.000000000000     
           5          18   714.000000000000     
           5          19   714.000000000000     
           5          20   672.000000000000     
           5          21   663.000000000000     
           5          22   642.000000000000     
           5          23   669.000000000000     
           5          24   717.000000000000     
           5          25   690.000000000000     
           5          26   585.000000000000     
           5          27   717.000000000000     
           5          28   702.000000000000     
           5          29   717.000000000000     
           5          30   708.000000000000     
           5          31   711.000000000000     
           5          32   714.000000000000     
           5          33   684.000000000000     
           5          34   705.000000000000     
           5          35   705.000000000000     
           5          36   606.000000000000     
           5          37   711.000000000000     
           5          38   711.000000000000     
           5          39   711.000000000000     
           5          40   708.000000000000     
           5          41   696.000000000000     
           5          42   699.000000000000     
           5          43   705.000000000000     
           5          44   699.000000000000     
           5          45  0.000000000000000E+000
           5          46   675.000000000000     
           5          47   645.000000000000     
           5          48   690.000000000000     
           5          49   699.000000000000     
           5          50   699.000000000000     
           5          51   702.000000000000     
           5          52   672.000000000000     
           5          53   687.000000000000     
           5          54   690.000000000000     
           5          55   576.000000000000     
           5          56   690.000000000000     
           5          57   690.000000000000     
           5          58   684.000000000000     
           5          59   684.000000000000     
           5          60   657.000000000000     
           5          61   666.000000000000     
           5          62   693.000000000000     
           5          63   693.000000000000     
           5          64   663.000000000000     
           5          65   690.000000000000     
           5          66   690.000000000000     
           5          67   684.000000000000     
           5          68   678.000000000000     
           5          69   687.000000000000     
           5          70   672.000000000000     
           5          71   678.000000000000     
           5          72   615.000000000000     
           5          73   678.000000000000     
           5          74   672.000000000000     
           5          75   669.000000000000     
           5          76   666.000000000000     
           5          77   642.000000000000     
           5          78   642.000000000000     
           5          79   657.000000000000     
           5          80   660.000000000000     
           5          81   657.000000000000     
           5          82   633.000000000000     
           5          83   651.000000000000     
           5          84   642.000000000000     
           5          85   636.000000000000     
           5          86   633.000000000000     
           5          87   627.000000000000     
           5          88   615.000000000000     
           5          89   426.000000000000     
           5          90   426.000000000000     
           5          91   429.000000000000     
           5          92   426.000000000000     
           5          93   423.000000000000     
           5          94   417.000000000000     
           5          95   414.000000000000     
           5          96   402.000000000000     
           5          97   405.000000000000     
           5          98   399.000000000000     
           5          99   387.000000000000     
           5         100   375.000000000000     
           5         101  0.000000000000000E+000
           6           1   915.000000000000     
           6           2   915.000000000000     
           6           3   912.000000000000     
           6           4   915.000000000000     
           6           5   912.000000000000     
           6           6   879.000000000000     
           6           7   915.000000000000     
           6           8   915.000000000000     
           6           9   909.000000000000     
           6          10   906.000000000000     
           6          11   915.000000000000     
           6          12   879.000000000000     
           6          13   912.000000000000     
           6          14   876.000000000000     
           6          15   879.000000000000     
           6          16   849.000000000000     
           6          17   921.000000000000     
           6          18   894.000000000000     
           6          19   888.000000000000     
           6          20   924.000000000000     
           6          21   927.000000000000     
           6          22   861.000000000000     
           6          23   933.000000000000     
           6          24   900.000000000000     
           6          25   933.000000000000     
           6          26   933.000000000000     
           6          27   888.000000000000     
           6          28   924.000000000000     
           6          29   885.000000000000     
           6          30   906.000000000000     
           6          31   933.000000000000     
           6          32   930.000000000000     
           6          33   927.000000000000     
           6          34   918.000000000000     
           6          35   903.000000000000     
           6          36   909.000000000000     
           6          37   873.000000000000     
           6          38   921.000000000000     
           6          39   909.000000000000     
           6          40   861.000000000000     
           6          41   900.000000000000     
           6          42   906.000000000000     
           6          43   924.000000000000     
           6          44   924.000000000000     
           6          45  0.000000000000000E+000
           6          46   924.000000000000     
           6          47   924.000000000000     
           6          48   915.000000000000     
           6          49   921.000000000000     
           6          50   918.000000000000     
           6          51   912.000000000000     
           6          52   885.000000000000     
           6          53   906.000000000000     
           6          54   909.000000000000     
           6          55   852.000000000000     
           6          56   888.000000000000     
           6          57   909.000000000000     
           6          58   912.000000000000     
           6          59   912.000000000000     
           6          60   873.000000000000     
           6          61   888.000000000000     
           6          62   870.000000000000     
           6          63   903.000000000000     
           6          64   906.000000000000     
           6          65   903.000000000000     
           6          66   903.000000000000     
           6          67   900.000000000000     
           6          68   873.000000000000     
           6          69   885.000000000000     
           6          70   858.000000000000     
           6          71   858.000000000000     
           6          72   852.000000000000     
           6          73   768.000000000000     
           6          74   750.000000000000     
           6          75   765.000000000000     
           6          76   777.000000000000     
           6          77   774.000000000000     
           6          78   690.000000000000     
           6          79   753.000000000000     
           6          80   738.000000000000     
           6          81   762.000000000000     
           6          82   753.000000000000     
           6          83   756.000000000000     
           6          84   753.000000000000     
           6          85   747.000000000000     
           6          86   741.000000000000     
           6          87   735.000000000000     
           6          88   702.000000000000     
           6          89   696.000000000000     
           6          90   690.000000000000     
           6          91   429.000000000000     
           6          92   426.000000000000     
           6          93   423.000000000000     
           6          94   417.000000000000     
           6          95   414.000000000000     
           6          96   402.000000000000     
           6          97   405.000000000000     
           6          98   399.000000000000     
           6          99   387.000000000000     
           6         100   375.000000000000     
           6         101  0.000000000000000E+000
           7           1   1095.00000000000     
           7           2   1059.00000000000     
           7           3   1095.00000000000     
           7           4   1095.00000000000     
           7           5   1095.00000000000     
           7           6   1095.00000000000     
           7           7   1098.00000000000     
           7           8   1113.00000000000     
           7           9   1095.00000000000     
           7          10   1125.00000000000     
           7          11   1119.00000000000     
           7          12   1098.00000000000     
           7          13   1131.00000000000     
           7          14   1122.00000000000     
           7          15   1044.00000000000     
           7          16   1128.00000000000     
           7          17   1128.00000000000     
           7          18   1125.00000000000     
           7          19   1098.00000000000     
           7          20   1107.00000000000     
           7          21   1131.00000000000     
           7          22   1128.00000000000     
           7          23   1131.00000000000     
           7          24   1125.00000000000     
           7          25   1128.00000000000     
           7          26   1107.00000000000     
           7          27   1059.00000000000     
           7          28   1128.00000000000     
           7          29   1122.00000000000     
           7          30   1119.00000000000     
           7          31   1122.00000000000     
           7          32   1119.00000000000     
           7          33   1113.00000000000     
           7          34   1083.00000000000     
           7          35   1110.00000000000     
           7          36   1101.00000000000     
           7          37   1080.00000000000     
           7          38   1089.00000000000     
           7          39   1092.00000000000     
           7          40   1095.00000000000     
           7          41   1074.00000000000     
           7          42   1089.00000000000     
           7          43   1074.00000000000     
           7          44   1059.00000000000     
           7          45  0.000000000000000E+000
           7          46   1098.00000000000     
           7          47   1092.00000000000     
           7          48   1092.00000000000     
           7          49   1095.00000000000     
           7          50   1098.00000000000     
           7          51   975.000000000000     
           7          52   1089.00000000000     
           7          53   1101.00000000000     
           7          54   1095.00000000000     
           7          55   1080.00000000000     
           7          56   1071.00000000000     
           7          57   1101.00000000000     
           7          58   1086.00000000000     
           7          59   1062.00000000000     
           7          60   1095.00000000000     
           7          61   1005.00000000000     
           7          62   1101.00000000000     
           7          63   1089.00000000000     
           7          64   1077.00000000000     
           7          65   1095.00000000000     
           7          66   1086.00000000000     
           7          67   1083.00000000000     
           7          68   1083.00000000000     
           7          69   987.000000000000     
           7          70   1068.00000000000     
           7          71   981.000000000000     
           7          72   1068.00000000000     
           7          73   1005.00000000000     
           7          74   1041.00000000000     
           7          75   1071.00000000000     
           7          76   1032.00000000000     
           7          77   1068.00000000000     
           7          78   1035.00000000000     
           7          79   984.000000000000     
           7          80   1017.00000000000     
           7          81   1032.00000000000     
           7          82   1044.00000000000     
           7          83   1044.00000000000     
           7          84   1047.00000000000     
           7          85   1026.00000000000     
           7          86   1035.00000000000     
           7          87   990.000000000000     
           7          88   957.000000000000     
           7          89   987.000000000000     
           7          90   999.000000000000     
           7          91   957.000000000000     
           7          92   963.000000000000     
           7          93   993.000000000000     
           7          94   987.000000000000     
           7          95   414.000000000000     
           7          96   408.000000000000     
           7          97   405.000000000000     
           7          98   399.000000000000     
           7          99   390.000000000000     
           7         100   375.000000000000     
           7         101  0.000000000000000E+000
           8           1   1182.00000000000     
           8           2   1185.00000000000     
           8           3   1194.00000000000     
           8           4   1185.00000000000     
           8           5   1182.00000000000     
           8           6   1185.00000000000     
           8           7   1185.00000000000     
           8           8   1197.00000000000     
           8           9   1185.00000000000     
           8          10   1188.00000000000     
           8          11   1194.00000000000     
           8          12   1185.00000000000     
           8          13   1179.00000000000     
           8          14   1188.00000000000     
           8          15   1182.00000000000     
           8          16   1176.00000000000     
           8          17   1200.00000000000     
           8          18   1182.00000000000     
           8          19   1194.00000000000     
           8          20   1194.00000000000     
           8          21   1185.00000000000     
           8          22   1188.00000000000     
           8          23   1185.00000000000     
           8          24   1197.00000000000     
           8          25   1179.00000000000     
           8          26   1194.00000000000     
           8          27   1179.00000000000     
           8          28   1128.00000000000     
           8          29   1173.00000000000     
           8          30   1167.00000000000     
           8          31   1182.00000000000     
           8          32   1191.00000000000     
           8          33   1191.00000000000     
           8          34   1176.00000000000     
           8          35   1188.00000000000     
           8          36   1176.00000000000     
           8          37   1179.00000000000     
           8          38   1179.00000000000     
           8          39   1191.00000000000     
           8          40   1173.00000000000     
           8          41   1155.00000000000     
           8          42   1158.00000000000     
           8          43   1191.00000000000     
           8          44   1185.00000000000     
           8          45  0.000000000000000E+000
           8          46   1188.00000000000     
           8          47   1188.00000000000     
           8          48   1146.00000000000     
           8          49   1191.00000000000     
           8          50   1194.00000000000     
           8          51   1188.00000000000     
           8          52   1185.00000000000     
           8          53   1200.00000000000     
           8          54   1191.00000000000     
           8          55   1155.00000000000     
           8          56   1173.00000000000     
           8          57   1185.00000000000     
           8          58   1185.00000000000     
           8          59   1197.00000000000     
           8          60   1200.00000000000     
           8          61   1185.00000000000     
           8          62   1197.00000000000     
           8          63   1194.00000000000     
           8          64   1185.00000000000     
           8          65   1188.00000000000     
           8          66   1197.00000000000     
           8          67   1185.00000000000     
           8          68   1188.00000000000     
           8          69   1200.00000000000     
           8          70   1185.00000000000     
           8          71   1176.00000000000     
           8          72   1185.00000000000     
           8          73   1191.00000000000     
           8          74   1191.00000000000     
           8          75   1206.00000000000     
           8          76   1206.00000000000     
           8          77   1191.00000000000     
           8          78   1200.00000000000     
           8          79   1200.00000000000     
           8          80   1191.00000000000     
           8          81   1197.00000000000     
           8          82   1050.00000000000     
           8          83   1044.00000000000     
           8          84   1197.00000000000     
           8          85   1032.00000000000     
           8          86   1206.00000000000     
           8          87   1011.00000000000     
           8          88   1023.00000000000     
           8          89   1035.00000000000     
           8          90   1029.00000000000     
           8          91   1023.00000000000     
           8          92   1014.00000000000     
           8          93   1014.00000000000     
           8          94   1011.00000000000     
           8          95   996.000000000000     
           8          96   1008.00000000000     
           8          97   1005.00000000000     
           8          98   999.000000000000     
           8          99   981.000000000000     
           8         100   375.000000000000     
           8         101  0.000000000000000E+000
