!------------------------------------------------------------!
  Date: 20191113
  Simulation name: AWZ4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1   33.0000000000000     
           2           2   24.0000000000000     
           2           3   39.0000000000000     
           2           4   36.0000000000000     
           2           5   39.0000000000000     
           2           6   129.000000000000     
           2           7   111.000000000000     
           2           8   126.000000000000     
           2           9   141.000000000000     
           2          10   153.000000000000     
           2          11   153.000000000000     
           2          12   144.000000000000     
           2          13   156.000000000000     
           2          14   159.000000000000     
           2          15   159.000000000000     
           2          16   159.000000000000     
           2          17   144.000000000000     
           2          18   144.000000000000     
           2          19   141.000000000000     
           2          20   141.000000000000     
           2          21   141.000000000000     
           2          22   141.000000000000     
           2          23   141.000000000000     
           2          24   141.000000000000     
           2          25   141.000000000000     
           2          26   141.000000000000     
           2          27   141.000000000000     
           2          28   141.000000000000     
           2          29   141.000000000000     
           2          30   141.000000000000     
           2          31   141.000000000000     
           2          32   141.000000000000     
           2          33   141.000000000000     
           2          34   141.000000000000     
           2          35   141.000000000000     
           2          36   138.000000000000     
           2          37   129.000000000000     
           2          38   141.000000000000     
           2          39   141.000000000000     
           2          40   141.000000000000     
           2          41   141.000000000000     
           2          42   141.000000000000     
           2          43   123.000000000000     
           2          44   141.000000000000     
           2          45  0.000000000000000E+000
           2          46   141.000000000000     
           2          47   141.000000000000     
           2          48   141.000000000000     
           2          49   141.000000000000     
           2          50   141.000000000000     
           2          51   141.000000000000     
           2          52   141.000000000000     
           2          53   141.000000000000     
           2          54   141.000000000000     
           2          55   141.000000000000     
           2          56   141.000000000000     
           2          57   141.000000000000     
           2          58   141.000000000000     
           2          59   138.000000000000     
           2          60   141.000000000000     
           2          61   138.000000000000     
           2          62   141.000000000000     
           2          63   141.000000000000     
           2          64   141.000000000000     
           2          65   141.000000000000     
           2          66   141.000000000000     
           2          67   141.000000000000     
           2          68   126.000000000000     
           2          69   141.000000000000     
           2          70   141.000000000000     
           2          71   141.000000000000     
           2          72   141.000000000000     
           2          73   141.000000000000     
           2          74   138.000000000000     
           2          75   126.000000000000     
           2          76   126.000000000000     
           2          77   138.000000000000     
           2          78   138.000000000000     
           2          79   96.0000000000000     
           2          80   138.000000000000     
           2          81   138.000000000000     
           2          82   138.000000000000     
           2          83   99.0000000000000     
           2          84   135.000000000000     
           2          85   96.0000000000000     
           2          86   108.000000000000     
           2          87   93.0000000000000     
           2          88   129.000000000000     
           2          89   99.0000000000000     
           2          90   126.000000000000     
           2          91   96.0000000000000     
           2          92   123.000000000000     
           2          93   45.0000000000000     
           2          94   63.0000000000000     
           2          95   63.0000000000000     
           2          96   60.0000000000000     
           2          97   75.0000000000000     
           2          98   87.0000000000000     
           2          99  0.000000000000000E+000
           2         100  0.000000000000000E+000
           2         101  0.000000000000000E+000
           3           1   249.000000000000     
           3           2   285.000000000000     
           3           3   294.000000000000     
           3           4   261.000000000000     
           3           5   276.000000000000     
           3           6   282.000000000000     
           3           7   291.000000000000     
           3           8   282.000000000000     
           3           9   288.000000000000     
           3          10   306.000000000000     
           3          11   306.000000000000     
           3          12   294.000000000000     
           3          13   306.000000000000     
           3          14   303.000000000000     
           3          15   258.000000000000     
           3          16   312.000000000000     
           3          17   273.000000000000     
           3          18   315.000000000000     
           3          19   267.000000000000     
           3          20   315.000000000000     
           3          21   315.000000000000     
           3          22   303.000000000000     
           3          23   294.000000000000     
           3          24   300.000000000000     
           3          25   306.000000000000     
           3          26   279.000000000000     
           3          27   318.000000000000     
           3          28   279.000000000000     
           3          29   315.000000000000     
           3          30   321.000000000000     
           3          31   321.000000000000     
           3          32   306.000000000000     
           3          33   267.000000000000     
           3          34   318.000000000000     
           3          35   318.000000000000     
           3          36   312.000000000000     
           3          37   315.000000000000     
           3          38   315.000000000000     
           3          39   318.000000000000     
           3          40   285.000000000000     
           3          41   306.000000000000     
           3          42   309.000000000000     
           3          43   315.000000000000     
           3          44   318.000000000000     
           3          45  0.000000000000000E+000
           3          46   318.000000000000     
           3          47   312.000000000000     
           3          48   315.000000000000     
           3          49   315.000000000000     
           3          50   315.000000000000     
           3          51   291.000000000000     
           3          52   282.000000000000     
           3          53   315.000000000000     
           3          54   318.000000000000     
           3          55   321.000000000000     
           3          56   261.000000000000     
           3          57   309.000000000000     
           3          58   318.000000000000     
           3          59   321.000000000000     
           3          60   318.000000000000     
           3          61   291.000000000000     
           3          62   321.000000000000     
           3          63   306.000000000000     
           3          64   270.000000000000     
           3          65   315.000000000000     
           3          66   318.000000000000     
           3          67   321.000000000000     
           3          68   312.000000000000     
           3          69   312.000000000000     
           3          70   312.000000000000     
           3          71   306.000000000000     
           3          72   252.000000000000     
           3          73   288.000000000000     
           3          74   165.000000000000     
           3          75   174.000000000000     
           3          76   165.000000000000     
           3          77   156.000000000000     
           3          78   147.000000000000     
           3          79   141.000000000000     
           3          80   156.000000000000     
           3          81   156.000000000000     
           3          82   150.000000000000     
           3          83   144.000000000000     
           3          84   150.000000000000     
           3          85   147.000000000000     
           3          86   144.000000000000     
           3          87   141.000000000000     
           3          88   135.000000000000     
           3          89   135.000000000000     
           3          90   132.000000000000     
           3          91   129.000000000000     
           3          92   123.000000000000     
