!------------------------------------------------------------!
  Date: 20190918
  Simulation name: BV4 
  Filename:nose.txt                                                                                                                
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                       
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                
  Data format: t  Q  Nose of Current X Loc                                                                                            
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6  0.000000000000000E+000
           2           7   12.0000000000000     
           2           8   12.0000000000000     
           2           9   12.0000000000000     
           2          10   15.0000000000000     
           2          11   30.0000000000000     
           2          12   24.0000000000000     
           2          13   18.0000000000000     
           2          14   39.0000000000000     
           2          15   15.0000000000000     
           2          16   12.0000000000000     
           2          17   51.0000000000000     
           2          18   51.0000000000000     
           2          19   57.0000000000000     
           2          20   63.0000000000000     
           2          21   66.0000000000000     
           2          22   69.0000000000000     
           2          23   75.0000000000000     
           2          24   78.0000000000000     
           2          25   84.0000000000000     
           2          26   87.0000000000000     
           2          27   84.0000000000000     
           2          28   84.0000000000000     
           2          29   87.0000000000000     
           2          30   87.0000000000000     
           2          31   87.0000000000000     
           2          32   87.0000000000000     
           2          33   96.0000000000000     
           2          34   96.0000000000000     
           2          35   96.0000000000000     
           2          36   87.0000000000000     
           2          37   96.0000000000000     
           2          38   123.000000000000     
           2          39   126.000000000000     
           2          40   126.000000000000     
           2          41   126.000000000000     
           2          42   96.0000000000000     
           2          43   96.0000000000000     
           2          44   90.0000000000000     
           2          45  0.000000000000000E+000
           2          46   90.0000000000000     
           2          47   90.0000000000000     
           2          48   90.0000000000000     
           2          49   120.000000000000     
           2          50   90.0000000000000     
           2          51   120.000000000000     
           2          52   87.0000000000000     
           2          53   87.0000000000000     
           2          54   99.0000000000000     
           2          55   87.0000000000000     
           2          56   87.0000000000000     
           2          57   102.000000000000     
           2          58   93.0000000000000     
           2          59   105.000000000000     
           2          60   126.000000000000     
           2          61   108.000000000000     
           2          62   120.000000000000     
           2          63   87.0000000000000     
           2          64   126.000000000000     
           2          65   120.000000000000     
           2          66   120.000000000000     
           2          67   117.000000000000     
           2          68   117.000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5  0.000000000000000E+000
           3           6   12.0000000000000     
           3           7   15.0000000000000     
           3           8   12.0000000000000     
           3           9   12.0000000000000     
           3          10   15.0000000000000     
           3          11   30.0000000000000     
           3          12   24.0000000000000     
           3          13   18.0000000000000     
           3          14   39.0000000000000     
           3          15   18.0000000000000     
           3          16   18.0000000000000     
           3          17   51.0000000000000     
           3          18   51.0000000000000     
           3          19   57.0000000000000     
           3          20   249.000000000000     
           3          21   252.000000000000     
           3          22   237.000000000000     
           3          23   261.000000000000     
           3          24   267.000000000000     
           3          25   270.000000000000     
           3          26   273.000000000000     
           3          27   267.000000000000     
           3          28   84.0000000000000     
           3          29   282.000000000000     
