!------------------------------------------------------------!
  Date: 20191122
  Simulation name: BVX4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6  0.000000000000000E+000
           2           7  0.000000000000000E+000
           2           8   12.0000000000000     
           2           9   12.0000000000000     
           2          10   18.0000000000000     
           2          11   27.0000000000000     
           2          12   33.0000000000000     
           2          13   36.0000000000000     
           2          14   36.0000000000000     
           2          15   33.0000000000000     
           2          16   12.0000000000000     
           2          17   39.0000000000000     
           2          18   39.0000000000000     
           2          19   15.0000000000000     
           2          20   15.0000000000000     
           2          21   57.0000000000000     
           2          22   69.0000000000000     
           2          23   75.0000000000000     
           2          24   78.0000000000000     
           2          25   84.0000000000000     
           2          26   87.0000000000000     
           2          27   90.0000000000000     
           2          28   87.0000000000000     
           2          29   87.0000000000000     
           2          30   99.0000000000000     
           2          31   132.000000000000     
           2          32   123.000000000000     
           2          33   123.000000000000     
           2          34   123.000000000000     
           2          35   123.000000000000     
           2          36   123.000000000000     
           2          37   90.0000000000000     
           2          38   90.0000000000000     
           2          39   90.0000000000000     
           2          40   90.0000000000000     
           2          41   90.0000000000000     
           2          42   90.0000000000000     
           2          43   90.0000000000000     
           2          44   90.0000000000000     
           2          45  0.000000000000000E+000
           2          46   90.0000000000000     
           2          47   90.0000000000000     
           2          48   96.0000000000000     
           2          49   90.0000000000000     
           2          50   96.0000000000000     
           2          51   96.0000000000000     
           2          52   96.0000000000000     
           2          53   96.0000000000000     
           2          54   90.0000000000000     
           2          55   90.0000000000000     
           2          56   90.0000000000000     
           2          57   117.000000000000     
           2          58   99.0000000000000     
           2          59   93.0000000000000     
           2          60   93.0000000000000     
           2          61   126.000000000000     
           2          62   132.000000000000     
           2          63   132.000000000000     
           2          64   96.0000000000000     
           2          65   90.0000000000000     
           2          66   114.000000000000     
           2          67   120.000000000000     
           2          68   117.000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5   9.00000000000000     
           3           6   12.0000000000000     
           3           7  0.000000000000000E+000
           3           8   15.0000000000000     
           3           9   18.0000000000000     
           3          10   27.0000000000000     
           3          11   27.0000000000000     
           3          12   33.0000000000000     
           3          13   36.0000000000000     
           3          14   36.0000000000000     
           3          15   39.0000000000000     
           3          16   24.0000000000000     
           3          17   255.000000000000     
           3          18   276.000000000000     
           3          19   282.000000000000     
           3          20   24.0000000000000     
           3          21   291.000000000000     
           3          22   288.000000000000     
           3          23   246.000000000000     
           3          24   246.000000000000     
           3          25   252.000000000000     
           3          26   294.000000000000     
           3          27   246.000000000000     
           3          28   291.000000000000     
