!------------------------------------------------------------!
  Date: 20191122
  Simulation name: BVZ4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5   9.00000000000000     
           2           6   9.00000000000000     
           2           7   15.0000000000000     
           2           8   18.0000000000000     
           2           9   21.0000000000000     
           2          10   21.0000000000000     
           2          11   21.0000000000000     
           2          12   33.0000000000000     
           2          13   30.0000000000000     
           2          14   33.0000000000000     
           2          15   30.0000000000000     
           2          16   33.0000000000000     
           2          17   36.0000000000000     
           2          18   36.0000000000000     
           2          19   27.0000000000000     
           2          20   30.0000000000000     
           2          21   27.0000000000000     
           2          22   42.0000000000000     
           2          23   21.0000000000000     
           2          24   42.0000000000000     
           2          25   72.0000000000000     
           2          26   75.0000000000000     
           2          27   75.0000000000000     
           2          28   60.0000000000000     
           2          29   78.0000000000000     
           2          30   81.0000000000000     
           2          31   87.0000000000000     
           2          32   93.0000000000000     
           2          33   93.0000000000000     
           2          34   99.0000000000000     
           2          35   105.000000000000     
           2          36   99.0000000000000     
           2          37   105.000000000000     
           2          38   114.000000000000     
           2          39   126.000000000000     
           2          40   129.000000000000     
           2          41   132.000000000000     
           2          42   135.000000000000     
           2          43   135.000000000000     
           2          44   132.000000000000     
           2          45  0.000000000000000E+000
           2          46   141.000000000000     
           2          47   138.000000000000     
           2          48   141.000000000000     
           2          49   141.000000000000     
           2          50   123.000000000000     
           2          51   90.0000000000000     
           2          52   111.000000000000     
           2          53   108.000000000000     
           2          54   90.0000000000000     
           2          55   96.0000000000000     
           2          56   90.0000000000000     
           2          57   132.000000000000     
           2          58   93.0000000000000     
           2          59   93.0000000000000     
           2          60   117.000000000000     
           2          61   120.000000000000     
           2          62   126.000000000000     
           2          63   132.000000000000     
           2          64   132.000000000000     
           2          65   93.0000000000000     
           2          66   99.0000000000000     
           2          67   126.000000000000     
           2          68   123.000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5   9.00000000000000     
           3           6   9.00000000000000     
           3           7   15.0000000000000     
           3           8   18.0000000000000     
           3           9   21.0000000000000     
           3          10   21.0000000000000     
           3          11   30.0000000000000     
           3          12   33.0000000000000     
           3          13   30.0000000000000     
           3          14   39.0000000000000     
           3          15   39.0000000000000     
           3          16   42.0000000000000     
           3          17   39.0000000000000     
           3          18   45.0000000000000     
           3          19   54.0000000000000     
           3          20   45.0000000000000     
           3          21   54.0000000000000     
           3          22   69.0000000000000     
           3          23   48.0000000000000     
           3          24   42.0000000000000     
           3          25   72.0000000000000     
           3          26   75.0000000000000     
           3          27   90.0000000000000     
           3          28   99.0000000000000     
           3          29   105.000000000000     
