!------------------------------------------------------------!
  Date: 20190926
  Simulation name: BW7 
  Filename:nose.txt                                                                                                                
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                       
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                
  Data format: t  Q  Nose of Current X Loc                                                                                            
!------------------------------------------------------------!
           2           1   48.0000000000000     
           2           2   39.0000000000000     
           2           3   39.0000000000000     
           2           4   54.0000000000000     
           2           5   42.0000000000000     
           2           6   51.0000000000000     
           2           7   69.0000000000000     
           2           8   54.0000000000000     
           2           9   75.0000000000000     
           2          10   69.0000000000000     
           2          11   72.0000000000000     
           2          12   72.0000000000000     
           2          13   75.0000000000000     
           2          14   75.0000000000000     
           2          15   69.0000000000000     
           2          16   72.0000000000000     
           2          17   129.000000000000     
           2          18   147.000000000000     
           2          19   156.000000000000     
           2          20   162.000000000000     
           2          21   156.000000000000     
           2          22   147.000000000000     
           2          23   144.000000000000     
           2          24   153.000000000000     
           2          25   168.000000000000     
           2          26   135.000000000000     
           2          27   135.000000000000     
           2          28   135.000000000000     
           2          29   135.000000000000     
           2          30   114.000000000000     
           2          31   123.000000000000     
           2          32   135.000000000000     
           2          33   123.000000000000     
           2          34   123.000000000000     
           2          35   99.0000000000000     
           2          36   99.0000000000000     
           2          37   99.0000000000000     
           2          38   99.0000000000000     
           2          39   99.0000000000000     
           2          40   126.000000000000     
           2          41   126.000000000000     
           2          42   126.000000000000     
           2          43   150.000000000000     
           2          44   99.0000000000000     
           2          45  0.000000000000000E+000
           2          46   126.000000000000     
           2          47   135.000000000000     
           2          48   126.000000000000     
           2          49   135.000000000000     
           2          50   135.000000000000     
           2          51   135.000000000000     
           2          52   135.000000000000     
           2          53   135.000000000000     
           2          54   135.000000000000     
           2          55   135.000000000000     
           2          56   135.000000000000     
           2          57   135.000000000000     
           2          58   135.000000000000     
           2          59   135.000000000000     
           2          60   135.000000000000     
           2          61   135.000000000000     
           2          62   135.000000000000     
           2          63   135.000000000000     
           2          64   135.000000000000     
           2          65   135.000000000000     
           2          66   150.000000000000     
           2          67   150.000000000000     
           2          68   135.000000000000     
           2          69   135.000000000000     
           2          70   135.000000000000     
