!------------------------------------------------------------!
  Date: 20191115
  Simulation name: BWX4 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1   51.0000000000000     
           2           2   57.0000000000000     
           2           3   51.0000000000000     
           2           4   24.0000000000000     
           2           5   63.0000000000000     
           2           6   72.0000000000000     
           2           7   75.0000000000000     
           2           8   75.0000000000000     
           2           9   81.0000000000000     
           2          10   84.0000000000000     
           2          11   96.0000000000000     
           2          12   96.0000000000000     
           2          13   96.0000000000000     
           2          14   120.000000000000     
           2          15   141.000000000000     
           2          16   141.000000000000     
           2          17   141.000000000000     
           2          18   141.000000000000     
           2          19   141.000000000000     
           2          20   141.000000000000     
           2          21   141.000000000000     
           2          22   141.000000000000     
           2          23   141.000000000000     
           2          24   141.000000000000     
           2          25   141.000000000000     
           2          26   141.000000000000     
           2          27   141.000000000000     
           2          28   141.000000000000     
           2          29   141.000000000000     
           2          30   141.000000000000     
           2          31   141.000000000000     
           2          32   141.000000000000     
           2          33   141.000000000000     
           2          34   141.000000000000     
           2          35   141.000000000000     
           2          36   141.000000000000     
           2          37   141.000000000000     
           2          38   141.000000000000     
           2          39   141.000000000000     
           2          40   141.000000000000     
           2          41   141.000000000000     
           2          42   141.000000000000     
           2          43   141.000000000000     
           2          44   141.000000000000     
           2          45  0.000000000000000E+000
           2          46   141.000000000000     
           2          47   141.000000000000     
           2          48   141.000000000000     
           2          49   141.000000000000     
           2          50   141.000000000000     
           2          51   141.000000000000     
           2          52   141.000000000000     
           2          53   141.000000000000     
           2          54   141.000000000000     
           2          55   141.000000000000     
           2          56   141.000000000000     
           2          57   141.000000000000     
           2          58   141.000000000000     
           2          59   141.000000000000     
           2          60   141.000000000000     
           2          61   141.000000000000     
           2          62   141.000000000000     
           2          63   141.000000000000     
           2          64   141.000000000000     
           2          65   141.000000000000     
           2          66   141.000000000000     
           2          67   141.000000000000     
           2          68   141.000000000000     
           2          69   141.000000000000     
           2          70   141.000000000000     
           2          71   141.000000000000     
           2          72   141.000000000000     
           2          73   141.000000000000     
           2          74   141.000000000000     
           2          75   141.000000000000     
           2          76   141.000000000000     
           2          77   141.000000000000     
           2          78   141.000000000000     
           2          79   141.000000000000     
           2          80   138.000000000000     
           2          81   138.000000000000     
           2          82   138.000000000000     
           2          83   138.000000000000     
           2          84   135.000000000000     
           2          85   135.000000000000     
           2          86   93.0000000000000     
           2          87   93.0000000000000     
           2          88   93.0000000000000     
           2          89   126.000000000000     
           2          90   120.000000000000     
           2          91   90.0000000000000     
           2          92   75.0000000000000     
           2          93   108.000000000000     
           2          94   114.000000000000     
           2          95   66.0000000000000     
           2          96   69.0000000000000     
           2          97   90.0000000000000     
           2          98   93.0000000000000     
           2          99   111.000000000000     
           2         100   90.0000000000000     
           2         101   111.000000000000     
           3           1   303.000000000000     
           3           2   303.000000000000     
           3           3   297.000000000000     
           3           4   300.000000000000     
           3           5   309.000000000000     
           3           6   291.000000000000     
           3           7   276.000000000000     
           3           8   315.000000000000     
           3           9   321.000000000000     
           3          10   318.000000000000     
           3          11   324.000000000000     
           3          12   291.000000000000     
           3          13   312.000000000000     
           3          14   318.000000000000     
           3          15   228.000000000000     
           3          16   300.000000000000     
           3          17   321.000000000000     
           3          18   318.000000000000     
           3          19   312.000000000000     
           3          20   318.000000000000     
           3          21   321.000000000000     
           3          22   318.000000000000     
           3          23   312.000000000000     
           3          24   318.000000000000     
           3          25   318.000000000000     
           3          26   315.000000000000     
           3          27   273.000000000000     
           3          28   315.000000000000     
           3          29   312.000000000000     
           3          30   315.000000000000     
           3          31   288.000000000000     
           3          32   288.000000000000     
           3          33   309.000000000000     
           3          34   285.000000000000     
           3          35   216.000000000000     
           3          36   312.000000000000     
           3          37   303.000000000000     
           3          38   309.000000000000     
           3          39   315.000000000000     
           3          40   306.000000000000     
           3          41   315.000000000000     
           3          42   315.000000000000     
           3          43   315.000000000000     
           3          44   228.000000000000     
           3          45  0.000000000000000E+000
           3          46   312.000000000000     
           3          47   291.000000000000     
           3          48   309.000000000000     
           3          49   315.000000000000     
           3          50   315.000000000000     
           3          51   306.000000000000     
           3          52   297.000000000000     
           3          53   312.000000000000     
           3          54   312.000000000000     
           3          55   312.000000000000     
           3          56   312.000000000000     
           3          57   312.000000000000     
           3          58   303.000000000000     
           3          59   210.000000000000     
           3          60   225.000000000000     
           3          61   210.000000000000     
           3          62   309.000000000000     
           3          63   312.000000000000     
           3          64   228.000000000000     
           3          65   231.000000000000     
           3          66   291.000000000000     
           3          67   312.000000000000     
           3          68   228.000000000000     
           3          69   309.000000000000     
           3          70   267.000000000000     
           3          71   309.000000000000     
           3          72   285.000000000000     
           3          73   252.000000000000     
           3          74   270.000000000000     
           3          75   252.000000000000     
           3          76   303.000000000000     
           3          77   288.000000000000     
           3          78   285.000000000000     
           3          79   303.000000000000     
           3          80   201.000000000000     
           3          81   300.000000000000     
           3          82   282.000000000000     
           3          83   267.000000000000     
           3          84   279.000000000000     
           3          85   276.000000000000     
           3          86   276.000000000000     
           3          87   264.000000000000     
           3          88   282.000000000000     
           3          89   276.000000000000     
           3          90   267.000000000000     
           3          91   261.000000000000     
           3          92   243.000000000000     
           3          93   252.000000000000     
           3          94   237.000000000000     
           3          95   255.000000000000     
           3          96   258.000000000000     
           3          97   258.000000000000     
           3          98   255.000000000000     
           3          99   243.000000000000     
           3         100   243.000000000000     
           3         101   243.000000000000     
           4           1   513.000000000000     
           4           2   516.000000000000     
           4           3   510.000000000000     
           4           4   519.000000000000     
           4           5   519.000000000000     
           4           6   519.000000000000     
           4           7   516.000000000000     
           4           8   462.000000000000     
           4           9   516.000000000000     
           4          10   513.000000000000     
           4          11   516.000000000000     
           4          12   513.000000000000     
           4          13   510.000000000000     
           4          14   504.000000000000     
           4          15   468.000000000000     
           4          16   462.000000000000     
           4          17   486.000000000000     
           4          18   483.000000000000     
           4          19   516.000000000000     
           4          20   516.000000000000     
           4          21   516.000000000000     
           4          22   411.000000000000     
           4          23   522.000000000000     
           4          24   501.000000000000     
           4          25   498.000000000000     
           4          26   525.000000000000     
           4          27   528.000000000000     
           4          28   525.000000000000     
           4          29   525.000000000000     
           4          30   510.000000000000     
           4          31   528.000000000000     
           4          32   534.000000000000     
           4          33   534.000000000000     
           4          34   534.000000000000     
           4          35   528.000000000000     
           4          36   528.000000000000     
           4          37   525.000000000000     
           4          38   504.000000000000     
           4          39   528.000000000000     
           4          40   522.000000000000     
           4          41   528.000000000000     
           4          42   531.000000000000     
           4          43   504.000000000000     
           4          44   486.000000000000     
           4          45  0.000000000000000E+000
           4          46   525.000000000000     
           4          47   525.000000000000     
           4          48   525.000000000000     
           4          49   516.000000000000     
           4          50   522.000000000000     
           4          51   522.000000000000     
           4          52   525.000000000000     
           4          53   525.000000000000     
           4          54   495.000000000000     
           4          55   492.000000000000     
           4          56   525.000000000000     
