!------------------------------------------------------------!
  Date: 20191115
  Simulation name: BWZ7 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1   42.0000000000000     
           2           2   45.0000000000000     
           2           3   54.0000000000000     
           2           4   54.0000000000000     
           2           5   54.0000000000000     
           2           6   36.0000000000000     
           2           7   54.0000000000000     
           2           8   51.0000000000000     
           2           9   45.0000000000000     
           2          10   51.0000000000000     
           2          11   51.0000000000000     
           2          12   36.0000000000000     
           2          13   54.0000000000000     
           2          14   60.0000000000000     
           2          15   81.0000000000000     
           2          16   81.0000000000000     
           2          17   69.0000000000000     
           2          18   90.0000000000000     
           2          19   93.0000000000000     
           2          20   93.0000000000000     
           2          21   93.0000000000000     
           2          22   78.0000000000000     
           2          23   87.0000000000000     
           2          24   114.000000000000     
           2          25   99.0000000000000     
           2          26   90.0000000000000     
           2          27   111.000000000000     
           2          28   117.000000000000     
           2          29   159.000000000000     
           2          30   159.000000000000     
           2          31   159.000000000000     
           2          32   162.000000000000     
           2          33   162.000000000000     
           2          34   162.000000000000     
           2          35   162.000000000000     
           2          36   150.000000000000     
           2          37   111.000000000000     
           2          38   150.000000000000     
           2          39   150.000000000000     
           2          40   150.000000000000     
           2          41   132.000000000000     
           2          42   129.000000000000     
           2          43   150.000000000000     
           2          44   150.000000000000     
           2          45  0.000000000000000E+000
           2          46   147.000000000000     
           2          47   144.000000000000     
           2          48   147.000000000000     
           2          49   150.000000000000     
           2          50   150.000000000000     
           2          51   150.000000000000     
           2          52   150.000000000000     
           2          53   150.000000000000     
           2          54   147.000000000000     
           2          55   150.000000000000     
           2          56   150.000000000000     
           2          57   150.000000000000     
           2          58   150.000000000000     
           2          59   150.000000000000     
           2          60   147.000000000000     
           2          61   150.000000000000     
           2          62   147.000000000000     
           2          63   147.000000000000     
           2          64   150.000000000000     
           2          65   150.000000000000     
           2          66   150.000000000000     
           2          67   150.000000000000     
           2          68   150.000000000000     
           2          69   150.000000000000     
           2          70   150.000000000000     
           2          71   150.000000000000     
           2          72   150.000000000000     
           2          73   150.000000000000     
           2          74   150.000000000000     
           2          75   150.000000000000     
           2          76   147.000000000000     
           2          77   147.000000000000     
           2          78   147.000000000000     
           2          79   150.000000000000     
           2          80   147.000000000000     
           2          81   81.0000000000000     
           2          82   78.0000000000000     
           2          83   99.0000000000000     
           2          84   144.000000000000     
           2          85   144.000000000000     
           2          86   141.000000000000     
           2          87   141.000000000000     
           2          88   138.000000000000     
           2          89   99.0000000000000     
           2          90   114.000000000000     
           2          91   96.0000000000000     
           2          92   132.000000000000     
           2          93   132.000000000000     
           2          94   129.000000000000     
           2          95   126.000000000000     
           2          96   120.000000000000     
           2          97   117.000000000000     
           2          98   114.000000000000     
           2          99   120.000000000000     
           2         100   117.000000000000     
           2         101   90.0000000000000     
           3           1   42.0000000000000     
           3           2   48.0000000000000     
           3           3   54.0000000000000     
           3           4   54.0000000000000     
           3           5   57.0000000000000     
           3           6   60.0000000000000     
           3           7   78.0000000000000     
           3           8   78.0000000000000     
           3           9   75.0000000000000     
           3          10   93.0000000000000     
           3          11   99.0000000000000     
           3          12   60.0000000000000     
           3          13   63.0000000000000     
           3          14   270.000000000000     
           3          15   327.000000000000     
           3          16   330.000000000000     
           3          17   336.000000000000     
           3          18   339.000000000000     
           3          19   300.000000000000     
           3          20   270.000000000000     
           3          21   345.000000000000     
           3          22   276.000000000000     
           3          23   348.000000000000     
           3          24   348.000000000000     
           3          25   312.000000000000     
           3          26   348.000000000000     
           3          27   348.000000000000     
           3          28   342.000000000000     
           3          29   342.000000000000     
           3          30   327.000000000000     
           3          31   315.000000000000     
           3          32   324.000000000000     
           3          33   342.000000000000     
           3          34   342.000000000000     
           3          35   327.000000000000     
           3          36   330.000000000000     
           3          37   345.000000000000     
           3          38   345.000000000000     
           3          39   348.000000000000     
           3          40   354.000000000000     
           3          41   351.000000000000     
           3          42   351.000000000000     
           3          43   246.000000000000     
           3          44   315.000000000000     
           3          45  0.000000000000000E+000
           3          46   348.000000000000     
           3          47   321.000000000000     
           3          48   348.000000000000     
           3          49   330.000000000000     
           3          50   333.000000000000     
           3          51   342.000000000000     
           3          52   342.000000000000     
           3          53   348.000000000000     
           3          54   333.000000000000     
           3          55   333.000000000000     
           3          56   348.000000000000     
           3          57   348.000000000000     
           3          58   348.000000000000     
           3          59   297.000000000000     
           3          60   345.000000000000     
           3          61   336.000000000000     
           3          62   345.000000000000     
           3          63   282.000000000000     
           3          64   327.000000000000     
           3          65   330.000000000000     
           3          66   264.000000000000     
           3          67   246.000000000000     
