!------------------------------------------------------------!
  Date: 20190910
  Simulation name: CV7 
  Filename:average_medium.txt                                                                                                      
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000
  1                   NaN                   NaN                   NaN                   NaN                   NaN                   NaN
  2      788.346389655648       21.852534764429       -2.466168860281        5.707455359594       21.863423760555      313.529148737503
  3      791.306514158966       22.279474970490       -5.051109130621       10.239039658061       22.276216924647      258.142091652065
  4      791.019869081824       21.311050499459       -2.123677366538        8.944406260860       21.316586246566      224.405075397199
  5      791.258080812573       16.616229551790        0.236959585593       -1.702813599818       16.615731089080       82.513651777454
  6      791.019314810171       15.429214533920       -6.388501642937       -6.800223277944       15.424500689204       66.371482139902
  7      791.980501195059       17.806551837167       -4.429155221058       -9.130331138109       17.799645018969       84.963348871837
  8      792.529648850025       19.265861160100       -2.887533731818       -7.195829967804       19.259113911082       86.115205625319
