!------------------------------------------------------------!
  Date: 20191115
  Simulation name: CVY7 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6   12.0000000000000     
           2           7   15.0000000000000     
           2           8   18.0000000000000     
           2           9   21.0000000000000     
           2          10   24.0000000000000     
           2          11   30.0000000000000     
           2          12   33.0000000000000     
           2          13   36.0000000000000     
           2          14   36.0000000000000     
           2          15   36.0000000000000     
           2          16   39.0000000000000     
           2          17   45.0000000000000     
           2          18   36.0000000000000     
           2          19   39.0000000000000     
           2          20   51.0000000000000     
           2          21   54.0000000000000     
           2          22   63.0000000000000     
           2          23   63.0000000000000     
           2          24   63.0000000000000     
           2          25   78.0000000000000     
           2          26   81.0000000000000     
           2          27   60.0000000000000     
           2          28   87.0000000000000     
           2          29   90.0000000000000     
           2          30   90.0000000000000     
           2          31   99.0000000000000     
           2          32   102.000000000000     
           2          33   87.0000000000000     
           2          34   90.0000000000000     
           2          35   120.000000000000     
           2          36   93.0000000000000     
           2          37   129.000000000000     
           2          38   99.0000000000000     
           2          39   135.000000000000     
           2          40   84.0000000000000     
           2          41   135.000000000000     
           2          42   87.0000000000000     
           2          43   150.000000000000     
           2          44   147.000000000000     
           2          45  0.000000000000000E+000
           2          46   150.000000000000     
           2          47   147.000000000000     
           2          48   87.0000000000000     
           2          49   141.000000000000     
           2          50   87.0000000000000     
           2          51   141.000000000000     
           2          52   141.000000000000     
           2          53   135.000000000000     
           2          54   141.000000000000     
           2          55   90.0000000000000     
           2          56   90.0000000000000     
           2          57   90.0000000000000     
           2          58   132.000000000000     
           2          59   132.000000000000     
           2          60   102.000000000000     
           2          61   105.000000000000     
           2          62   93.0000000000000     
           2          63   132.000000000000     
           2          64   114.000000000000     
           2          65   141.000000000000     
           2          66   96.0000000000000     
           2          67   123.000000000000     
           2          68   138.000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5   9.00000000000000     
           3           6   12.0000000000000     
           3           7   15.0000000000000     
           3           8   18.0000000000000     
           3           9   21.0000000000000     
           3          10   27.0000000000000     
           3          11   30.0000000000000     
           3          12   33.0000000000000     
           3          13   36.0000000000000     
           3          14   39.0000000000000     
           3          15   42.0000000000000     
           3          16   45.0000000000000     
           3          17   48.0000000000000     
           3          18   48.0000000000000     
           3          19   48.0000000000000     
           3          20   57.0000000000000     
           3          21   63.0000000000000     
           3          22   66.0000000000000     
           3          23   66.0000000000000     
           3          24   72.0000000000000     
           3          25   78.0000000000000     
           3          26   81.0000000000000     
           3          27   78.0000000000000     
           3          28   90.0000000000000     
           3          29   93.0000000000000     
