!------------------------------------------------------------!
  Date: 20190910
  Simulation name: CW4 
  Filename:nose.txt                                                                                                                
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                       
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                
  Data format: t  Q  Nose of Current X Loc                                                                                            
!------------------------------------------------------------!
           2           1   33.0000000000000     
           2           2   54.0000000000000     
           2           3   51.0000000000000     
           2           4   54.0000000000000     
           2           5   54.0000000000000     
           2           6   60.0000000000000     
           2           7   60.0000000000000     
           2           8   60.0000000000000     
           2           9   78.0000000000000     
           2          10   60.0000000000000     
           2          11   63.0000000000000     
           2          12   84.0000000000000     
           2          13   84.0000000000000     
           2          14   84.0000000000000     
           2          15   81.0000000000000     
           2          16   84.0000000000000     
           2          17   90.0000000000000     
           2          18   90.0000000000000     
           2          19   90.0000000000000     
           2          20   99.0000000000000     
           2          21   117.000000000000     
           2          22   87.0000000000000     
           2          23   90.0000000000000     
           2          24   78.0000000000000     
           2          25   87.0000000000000     
           2          26   138.000000000000     
           2          27   147.000000000000     
           2          28   141.000000000000     
           2          29   147.000000000000     
           2          30   120.000000000000     
           2          31   105.000000000000     
           2          32   138.000000000000     
           2          33   123.000000000000     
           2          34   111.000000000000     
           2          35   111.000000000000     
           2          36   93.0000000000000     
           2          37   126.000000000000     
           2          38   135.000000000000     
           2          39   126.000000000000     
           2          40   126.000000000000     
           2          41   135.000000000000     
           2          42   135.000000000000     
           2          43   129.000000000000     
           2          44   120.000000000000     
           2          45  0.000000000000000E+000
           2          46   129.000000000000     
           2          47   135.000000000000     
           2          48   129.000000000000     
           2          49   135.000000000000     
           2          50   132.000000000000     
           2          51   132.000000000000     
           2          52   132.000000000000     
           2          53   135.000000000000     
           2          54   132.000000000000     
           2          55   135.000000000000     
           2          56   129.000000000000     
           2          57   132.000000000000     
           2          58   132.000000000000     
           2          59   132.000000000000     
           2          60   135.000000000000     
           2          61   135.000000000000     
           2          62   135.000000000000     
           2          63   135.000000000000     
           2          64   120.000000000000     
           2          65   87.0000000000000     
           2          66   87.0000000000000     
           2          67   87.0000000000000     
           2          68   87.0000000000000     
           2          69   87.0000000000000     
           2          70   117.000000000000     
           2          71   117.000000000000     
           2          72   117.000000000000     
           2          73   87.0000000000000     
           2          74   87.0000000000000     
           2          75   129.000000000000     
           2          76   138.000000000000     
           2          77   138.000000000000     
           2          78   138.000000000000     
           2          79   138.000000000000     
           2          80   132.000000000000     
           2          81   135.000000000000     
           2          82   135.000000000000     
           2          83   129.000000000000     
           2          84   132.000000000000     
           2          85   132.000000000000     
           2          86   78.0000000000000     
           2          87   75.0000000000000     
           2          88   75.0000000000000     
           2          89   75.0000000000000     
           2          90   120.000000000000     
           2          91   120.000000000000     
           2          92   84.0000000000000     
           2          93   111.000000000000     
           2          94   120.000000000000     
           2          95   117.000000000000     
           2          96   111.000000000000     
           2          97   114.000000000000     
           2          98   105.000000000000     
           2          99   108.000000000000     
           2         100   87.0000000000000     
           2         101   96.0000000000000     
           3           1   33.0000000000000     
           3           2   54.0000000000000     
           3           3   54.0000000000000     
           3           4   57.0000000000000     
           3           5   57.0000000000000     
           3           6   60.0000000000000     
           3           7   60.0000000000000     
           3           8   72.0000000000000     
           3           9   78.0000000000000     
           3          10   75.0000000000000     
           3          11   75.0000000000000     
           3          12   84.0000000000000     
           3          13   84.0000000000000     
           3          14   93.0000000000000     
           3          15   93.0000000000000     
           3          16   93.0000000000000     
           3          17   93.0000000000000     
           3          18   111.000000000000     
           3          19   114.000000000000     
           3          20   120.000000000000     
           3          21   120.000000000000     
           3          22   132.000000000000     
           3          23   138.000000000000     
           3          24   147.000000000000     
           3          25   153.000000000000     
           3          26   162.000000000000     
           3          27   168.000000000000     
           3          28   180.000000000000     
           3          29   192.000000000000     
           3          30   258.000000000000     
           3          31   207.000000000000     
           3          32   270.000000000000     
           3          33   288.000000000000     
           3          34   291.000000000000     
           3          35   294.000000000000     
           3          36   294.000000000000     
           3          37   297.000000000000     
           3          38   276.000000000000     
           3          39   297.000000000000     
           3          40   300.000000000000     
           3          41   273.000000000000     
           3          42   297.000000000000     
           3          43   291.000000000000     
           3          44   276.000000000000     
           3          45  0.000000000000000E+000
           3          46   288.000000000000     
           3          47   303.000000000000     
           3          48   303.000000000000     
           3          49   303.000000000000     
           3          50   273.000000000000     
           3          51   288.000000000000     
           3          52   294.000000000000     
           3          53   195.000000000000     
           3          54   264.000000000000     
           3          55   252.000000000000     
           3          56   276.000000000000     
           3          57   273.000000000000     
           3          58   282.000000000000     
           3          59   264.000000000000     
           3          60   255.000000000000     
           3          61   267.000000000000     
           3          62   198.000000000000     
           3          63   291.000000000000     
           3          64   279.000000000000     
           3          65   291.000000000000     
           3          66   264.000000000000     
           3          67   276.000000000000     
           3          68   273.000000000000     
           3          69   291.000000000000     
           3          70   291.000000000000     
           3          71   291.000000000000     
           3          72   282.000000000000     
           3          73   288.000000000000     
           3          74   261.000000000000     
           3          75   273.000000000000     
           3          76   279.000000000000     
           3          77   270.000000000000     
           3          78   285.000000000000     
           3          79   270.000000000000     
           3          80   282.000000000000     
           3          81   210.000000000000     
           3          82   279.000000000000     
           3          83   276.000000000000     
           3          84   255.000000000000     
           3          85   261.000000000000     
           3          86   264.000000000000     
           3          87   270.000000000000     
           3          88   267.000000000000     
           3          89   264.000000000000     
           3          90   255.000000000000     
           3          91   246.000000000000     
