!------------------------------------------------------------!
  Date: 20190925
  Simulation name: SW4 
  Filename:nose.txt                                                                                                                
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                       
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                
  Data format: t  Q  Nose of Current X Loc                                                                                            
!------------------------------------------------------------!
           2           1   138.000000000000     
           2           2   138.000000000000     
           2           3   138.000000000000     
           2           4   138.000000000000     
           2           5   138.000000000000     
           2           6   138.000000000000     
           2           7   138.000000000000     
           2           8   138.000000000000     
           2           9   138.000000000000     
           2          10   138.000000000000     
           2          11   138.000000000000     
           2          12   138.000000000000     
           2          13   138.000000000000     
           2          14   138.000000000000     
           2          15   138.000000000000     
           2          16   138.000000000000     
           2          17   138.000000000000     
           2          18   138.000000000000     
           2          19   138.000000000000     
           2          20   138.000000000000     
           2          21   138.000000000000     
           2          22   138.000000000000     
           2          23   138.000000000000     
           2          24   138.000000000000     
           2          25   138.000000000000     
           2          26   138.000000000000     
           2          27   138.000000000000     
           2          28   138.000000000000     
           2          29   138.000000000000     
           2          30   138.000000000000     
           2          31   138.000000000000     
           2          32   138.000000000000     
           2          33   138.000000000000     
           2          34   138.000000000000     
           2          35   138.000000000000     
           2          36   138.000000000000     
           2          37   138.000000000000     
           2          38   138.000000000000     
           2          39   141.000000000000     
           2          40   138.000000000000     
           2          41   138.000000000000     
           2          42   138.000000000000     
           2          43   138.000000000000     
           2          44   138.000000000000     
           2          45  0.000000000000000E+000
           2          46   138.000000000000     
           2          47   138.000000000000     
           2          48   138.000000000000     
           2          49   138.000000000000     
           2          50   138.000000000000     
           2          51   138.000000000000     
           2          52   138.000000000000     
           2          53   138.000000000000     
           2          54   138.000000000000     
           2          55   138.000000000000     
           2          56   138.000000000000     
           2          57   138.000000000000     
           2          58   138.000000000000     
           2          59   138.000000000000     
           2          60   138.000000000000     
           2          61   138.000000000000     
           2          62   138.000000000000     
           2          63   138.000000000000     
           2          64   138.000000000000     
           2          65   138.000000000000     
           2          66   138.000000000000     
           2          67   138.000000000000     
           2          68   138.000000000000     
           2          69   138.000000000000     
           2          70   138.000000000000     
           2          71   138.000000000000     
           2          72   138.000000000000     
           2          73   138.000000000000     
           2          74   138.000000000000     
           2          75   138.000000000000     
           2          76   138.000000000000     
           2          77   138.000000000000     
           2          78   138.000000000000     
           2          79   138.000000000000     
           2          80   138.000000000000     
           2          81   135.000000000000     
           2          82   135.000000000000     
           2          83   117.000000000000     
           2          84   135.000000000000     
           2          85  0.000000000000000E+000
           2          86  0.000000000000000E+000
           2          87  0.000000000000000E+000
           2          88  0.000000000000000E+000
           2          89  0.000000000000000E+000
           2          90  0.000000000000000E+000
           2          91  0.000000000000000E+000
           2          92  0.000000000000000E+000
           2          93  0.000000000000000E+000
           2          94  0.000000000000000E+000
           2          95  0.000000000000000E+000
           2          96  0.000000000000000E+000
           2          97  0.000000000000000E+000
           2          98  0.000000000000000E+000
           2          99  0.000000000000000E+000
           2         100  0.000000000000000E+000
           2         101  0.000000000000000E+000
           3           1   291.000000000000     
           3           2   291.000000000000     
           3           3   288.000000000000     
           3           4   261.000000000000     
           3           5   261.000000000000     
           3           6   288.000000000000     
           3           7   261.000000000000     
           3           8   288.000000000000     
           3           9   288.000000000000     
           3          10   288.000000000000     
           3          11   291.000000000000     
           3          12   291.000000000000     
           3          13   279.000000000000     
           3          14   288.000000000000     
           3          15   285.000000000000     
           3          16   213.000000000000     
           3          17   279.000000000000     
           3          18   288.000000000000     
           3          19   288.000000000000     
           3          20   279.000000000000     
           3          21   288.000000000000     
           3          22   258.000000000000     
           3          23   288.000000000000     
           3          24   252.000000000000     
           3          25   285.000000000000     
           3          26   261.000000000000     
           3          27   261.000000000000     
           3          28   249.000000000000     
           3          29   195.000000000000     
           3          30   288.000000000000     
           3          31   291.000000000000     
           3          32   261.000000000000     
           3          33   291.000000000000     
           3          34   288.000000000000     
           3          35   288.000000000000     
           3          36   288.000000000000     
           3          37   276.000000000000     
           3          38   264.000000000000     
           3          39   288.000000000000     
           3          40   288.000000000000     
           3          41   276.000000000000     
           3          42   285.000000000000     
           3          43   288.000000000000     
           3          44   285.000000000000     
           3          45  0.000000000000000E+000
           3          46   273.000000000000     
           3          47   288.000000000000     
           3          48   255.000000000000     
           3          49   225.000000000000     
           3          50   261.000000000000     
           3          51   279.000000000000     
           3          52   270.000000000000     
           3          53   246.000000000000     
           3          54   246.000000000000     
           3          55   291.000000000000     
           3          56   279.000000000000     
           3          57   261.000000000000     
           3          58   288.000000000000     
           3          59   285.000000000000     
           3          60   270.000000000000     
           3          61   288.000000000000     
           3          62   255.000000000000     
           3          63   249.000000000000     
           3          64   180.000000000000     
           3          65   288.000000000000     
           3          66   252.000000000000     
           3          67   258.000000000000     
           3          68   195.000000000000     
           3          69   285.000000000000     
           3          70   288.000000000000     
           3          71   282.000000000000     
           3          72   288.000000000000     
           3          73   288.000000000000     
           3          74   282.000000000000     
           3          75   261.000000000000     
           3          76   249.000000000000     
           3          77   255.000000000000     
           3          78   285.000000000000     
           3          79   291.000000000000     
           3          80   291.000000000000     
           3          81   288.000000000000     
           3          82   276.000000000000     
           3          83   264.000000000000     
           3          84   297.000000000000     
           3          85  0.000000000000000E+000
           3          86  0.000000000000000E+000
           3          87  0.000000000000000E+000
           3          88  0.000000000000000E+000
           3          89  0.000000000000000E+000
           3          90  0.000000000000000E+000
           3          91  0.000000000000000E+000
           3          92  0.000000000000000E+000
           3          93  0.000000000000000E+000
           3          94  0.000000000000000E+000
           3          95  0.000000000000000E+000
           3          96  0.000000000000000E+000
           3          97  0.000000000000000E+000
           3          98  0.000000000000000E+000
           3          99  0.000000000000000E+000
           3         100  0.000000000000000E+000
           3         101  0.000000000000000E+000
           4           1   486.000000000000     
           4           2   483.000000000000     
           4           3   465.000000000000     
           4           4   486.000000000000     
           4           5   486.000000000000     
           4           6   486.000000000000     
           4           7   486.000000000000     
           4           8   489.000000000000     
           4           9   480.000000000000     
           4          10   489.000000000000     
           4          11   480.000000000000     
           4          12   477.000000000000     
           4          13   489.000000000000     
           4          14   486.000000000000     
           4          15   480.000000000000     
           4          16   486.000000000000     
           4          17   486.000000000000     
           4          18   486.000000000000     
           4          19   486.000000000000     
           4          20   489.000000000000     
           4          21   477.000000000000     
           4          22   489.000000000000     
           4          23   486.000000000000     
           4          24   483.000000000000     
           4          25   486.000000000000     
           4          26   384.000000000000     
           4          27   453.000000000000     
           4          28   489.000000000000     
           4          29   477.000000000000     
           4          30   483.000000000000     
           4          31   483.000000000000     
           4          32   480.000000000000     
           4          33   483.000000000000     
           4          34   474.000000000000     
           4          35   480.000000000000     
           4          36   480.000000000000     
           4          37   483.000000000000     
           4          38   483.000000000000     
           4          39   474.000000000000     
           4          40   459.000000000000     
           4          41   483.000000000000     
           4          42   483.000000000000     
           4          43   483.000000000000     
           4          44   483.000000000000     
           4          45  0.000000000000000E+000
           4          46   477.000000000000     
           4          47   486.000000000000     
           4          48   378.000000000000     
           4          49   381.000000000000     
           4          50   483.000000000000     
           4          51   486.000000000000     
           4          52   417.000000000000     
           4          53   483.000000000000     
           4          54   486.000000000000     
           4          55   483.000000000000     
           4          56   489.000000000000     
           4          57   480.000000000000     
           4          58   486.000000000000     
           4          59   486.000000000000     
           4          60   483.000000000000     
           4          61   459.000000000000     
           4          62   444.000000000000     
           4          63   483.000000000000     
           4          64   483.000000000000     
           4          65   477.000000000000     
           4          66   480.000000000000     
           4          67   465.000000000000     
           4          68   480.000000000000     
           4          69   486.000000000000     
           4          70   474.000000000000     
           4          71   486.000000000000     
           4          72   486.000000000000     
           4          73   477.000000000000     
           4          74   480.000000000000     
           4          75   486.000000000000     
           4          76   486.000000000000     
           4          77   486.000000000000     
           4          78   483.000000000000     
           4          79   477.000000000000     
           4          80   474.000000000000     
           4          81   411.000000000000     
           4          82   477.000000000000     
           4          83   486.000000000000     
           4          84   492.000000000000     
           4          85  0.000000000000000E+000
           4          86  0.000000000000000E+000
           4          87  0.000000000000000E+000
           4          88  0.000000000000000E+000
           4          89  0.000000000000000E+000
           4          90  0.000000000000000E+000
           4          91  0.000000000000000E+000
           4          92  0.000000000000000E+000
           4          93  0.000000000000000E+000
           4          94  0.000000000000000E+000
           4          95  0.000000000000000E+000
           4          96  0.000000000000000E+000
           4          97  0.000000000000000E+000
           4          98  0.000000000000000E+000
           4          99  0.000000000000000E+000
           4         100  0.000000000000000E+000
           4         101  0.000000000000000E+000
           5           1   642.000000000000     
           5           2   693.000000000000     
           5           3   693.000000000000     
           5           4   690.000000000000     
           5           5   684.000000000000     
           5           6   684.000000000000     
           5           7   687.000000000000     
           5           8   672.000000000000     
           5           9   678.000000000000     
           5          10   684.000000000000     
           5          11   681.000000000000     
           5          12   687.000000000000     
           5          13   666.000000000000     
           5          14   681.000000000000     
           5          15   681.000000000000     
           5          16   681.000000000000     
           5          17   681.000000000000     
           5          18   684.000000000000     
           5          19   627.000000000000     
           5          20   684.000000000000     
           5          21   690.000000000000     
           5          22   684.000000000000     
           5          23   684.000000000000     
           5          24   693.000000000000     
           5          25   693.000000000000     
           5          26   690.000000000000     
           5          27   693.000000000000     
           5          28   654.000000000000     
           5          29   684.000000000000     
           5          30   684.000000000000     
           5          31   675.000000000000     
           5          32   693.000000000000     
           5          33   693.000000000000     
           5          34   693.000000000000     
           5          35   678.000000000000     
           5          36   690.000000000000     
           5          37   672.000000000000     
           5          38   678.000000000000     
